sender,subject,body,dmarc_spf_pass,label,num_links,num_dollar_signs,num_urgent_terms,num_personal_pronouns,domain_match,suspicious_subject,signature_mismatch
noreply@copelandleeandgriffi-secure.com,Action Required: Update Payment Information,"
Hello Erin,

Following up on our conversation about the Space affect project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Copeland, Lee and Griffith Services
Account #: 213134498050632
Routing #: 584122317

Please direct all future payments to this new account.

Sincerely,
Erin
Scientist, research (maths)
Copeland, Lee and Griffith
                ",0,1,0,0,0,3,1,1,0
noreply@phillipsjacksonandtr-secure.com,Action Required: Update Payment Information,"
Hello Christina,

Following up on our conversation about the This position project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Phillips, Jackson and Travis Services
Account #: 3515990720499205
Routing #: 408428307

Please direct all future payments to this new account.

Sincerely,
Christina
Surveyor, hydrographic
Phillips, Jackson and Travis
                

Questions? Visit our FAQ page at https://phillipsjacksonandtr.com/faq or call 1-800-5444161",0,1,1,0,0,4,1,1,1
security@moraleswatsonandwhit-alerts.com,Invoice 7922: Past Due Payment Notice,"
Hello George,

Following up on our conversation about the Skin popular project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Morales, Watson and White Services
Account #: 675962567201
Routing #: 118067789

Please direct all future payments to this new account.

Sincerely,
George
Engineer, technical sales
Morales, Watson and White
                

Best regards,
George Petersen
Sub
Morales, Watson and White
Phone: 5264824161",0,1,0,0,0,3,1,0,1
marketing@rich-green.com,Project Update: Claim sure,"
Dear Michael,

Your March 2022 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Rich-Green.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Rich-Green Billing Department
                

Best regards,
Michael Rogers
Quality manager
Rich-Green
Phone: (912)392-2627x7977",1,0,1,0,0,0,1,-1,1
security@jones-hooper-alerts.com,Security Alert: Jones-Hooper Account Activity,"
Dear Ashley,

We've detected suspicious activity on your Jones-Hooper account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Jones-Hooper.com/verify?token=10290bbd-0cf1-4d7c-b790-32ef5a9c60e7

If this wasn't you, contact security immediately: security@Jones-Hooper.com

Sincerely,
Jones-Hooper Security Team
                

Questions? Visit our FAQ page at https://jones-hooper.com/faq or call 1-800-1855537",1,1,2,0,3,3,1,1,1
support@carter-moore.com,Project Update: Growth sign,"
Dear Krista,

Your August 2020 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Carter-Moore.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Carter-Moore Billing Department
                

Best regards,
Krista May
Medical technical officer
Carter-Moore
Phone: 806.706.2934",1,0,1,0,0,0,1,-1,1
steven@fordandsons.net,Meeting Follow-up: Re-contextualized full-range frame,"
Dear Steven,

Your September 2020 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Ford and Sons.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Ford and Sons Billing Department
                

Best regards,
Steven Guzman
Farm manager
Ford and Sons
Phone: 001-901-967-6156x7695",1,0,1,0,0,0,1,-1,1
noreply@butler-short-secure.com,Security Alert: Butler-Short Account Activity,"
Hello James,

Following up on our conversation about the Any culture project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Butler-Short Services
Account #: 584547787450
Routing #: 181456803

Please direct all future payments to this new account.

Sincerely,
James
Garment/textile technologist
Butler-Short
                ",0,1,0,0,0,3,1,1,0
support@archer-glenn.com,Your August 2021 Statement,"
Hello Team,

Quick update on the Have kid project. Milestones are on track. 
We've completed 69% of the deliverables ahead of schedule.

Meeting scheduled for 2025-07-28 to discuss next steps.

Best regards,
John
Press photographer
Archer-Glenn
                

Best regards,
John Pham
Psychologist, occupational
Archer-Glenn
Phone: 001-393-806-9405x5669",1,0,0,0,0,1,1,0,1
billing@weberandsons.com,Invoice 5140: Past Due Payment Notice,"
Hi Amanda,

This is a reminder that your payment for invoice #5140 for $1971 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Weber and Sons.com/update-payment?token=8b421049-9328-4f88-9911-b034c943bcd6

If you believe this is an error, please contact our billing department.

Best regards,
Weber and Sons Billing Department
                

Best regards,
Amanda Wells
Environmental health practitioner
Weber and Sons
Phone: 319-425-0269",1,0,1,1,0,1,1,-1,1
william.mejia@burtonltd.com,Welcome William to Burton Ltd!,"
Dear William,

Your November 2023 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Burton Ltd.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Burton Ltd Billing Department
                

Best regards,
William Mejia
Food technologist
Burton Ltd
Phone: 001-425-502-3550x5755",1,0,1,0,0,0,1,0,1
benjamin@nolan-mcmahon.net,Meeting Follow-up: Expanded web-enabled encryption,"
Hi Benjamin,

Great connecting with you during our meeting about Expanded web-enabled encryption. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-01-17.

Best regards,
Benjamin
Building surveyor
Nolan-Mcmahon
                

Best regards,
Benjamin Kane
Fish farm manager
Nolan-Mcmahon
Phone: 772-259-8571",1,0,0,0,0,5,1,-1,1
help@petersen-gregory.com,Project Update: True minute,"
Dear Johnny,

Your August 2023 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Petersen-Gregory.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Petersen-Gregory Billing Department
                

Best regards,
Johnny Spencer
Jewellery designer
Petersen-Gregory
Phone: 658-533-2973x73251",1,0,1,0,0,0,1,-1,1
security@jacksonplc-alerts.com,Invoice 4272: Past Due Payment Notice,"
Dear Jesse,

We've detected suspicious activity on your Jackson PLC account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Jackson PLC.com/verify?token=47ed5a61-2442-43fe-94b7-34ef685a9e04

If this wasn't you, contact security immediately: security@Jackson PLC.com

Sincerely,
Jackson PLC Security Team
                

This communication is in accordance with our privacy policy: https://jacksonplc.com/privacy",0,0,2,0,3,3,1,0,1
admin@brownltd.com,Security Alert: Brown Ltd Account Activity,"
Dear Melissa,

We've detected suspicious activity on your Brown Ltd account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Brown Ltd.com/verify?token=2074a342-f155-4c9d-b03e-3042370e215d

If this wasn't you, contact security immediately: security@Brown Ltd.com

Sincerely,
Brown Ltd Security Team
                ",0,0,1,0,3,2,1,1,1
support@hojonesandstone.com,Project Update: Camera election,"
Dear Kenneth,

Your March 2022 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Ho, Jones and Stone.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Ho, Jones and Stone Billing Department
                

Best regards,
Kenneth Rivera
Quarry manager
Ho, Jones and Stone
Phone: 7005810404",1,0,1,0,0,0,1,-1,1
noreply@mcneilgroup-secure.com,Security Alert: Mcneil Group Account Activity,"
Hi Jessica,

This is a reminder that your payment for invoice #8125 for $4610 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Mcneil Group.com/update-payment?token=60ca6d46-a95f-4d4a-95cd-2cc75108bb2b

If you believe this is an error, please contact our billing department.

Best regards,
Mcneil Group Billing Department
                

Best regards,
Jessica Cardenas
Child psychotherapist
Mcneil Group
Phone: (535)753-5996x7393",0,0,1,1,0,1,1,1,1
elizabeth@barberllc.com,Project Update: Kid either,"
Dear Elizabeth,

Your January 2022 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Barber LLC.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Barber LLC Billing Department
                

Best regards,
Elizabeth Newman
Sales professional, IT
Barber LLC
Phone: 278-287-4071x36806",1,0,1,0,0,0,1,-1,1
billing@cox-lewis.com,Invoice 9982: Past Due Payment Notice,"
Dear Crystal,

We've detected suspicious activity on your Cox-Lewis account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Cox-Lewis.com/verify?token=098ec166-f97c-4811-8bfe-af41fbe823d6

If this wasn't you, contact security immediately: security@Cox-Lewis.com

Sincerely,
Cox-Lewis Security Team
                

Best regards,
Crystal Johnson
Engineer, site
Cox-Lewis
Phone: 001-383-979-0421x8263",0,1,1,0,3,2,1,0,1
info@burgesssmithandturne.com,Project Update: Make page,"
Dear Cynthia,

Your January 2023 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Burgess, Smith and Turner.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Burgess, Smith and Turner Billing Department
                

Best regards,
Cynthia Castaneda
Programmer, systems
Burgess, Smith and Turner
Phone: (455)265-1296x63595",0,0,1,0,0,0,1,-1,1
jamie@griffin-scott.com,Invoice 7407: Past Due Payment Notice,"
Hello Jamie,

Following up on our conversation about the Cut whom project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Griffin-Scott Services
Account #: 6011778205628923
Routing #: 214425489

Please direct all future payments to this new account.

Sincerely,
Jamie
Sound technician, broadcasting/film/video
Griffin-Scott
                

Best regards,
Jamie Ward
Office manager
Griffin-Scott
Phone: +1-278-848-9536x0322",0,0,0,0,0,3,1,-1,1
jesus.wilso@walshfloresandbrown.com,Your January 2022 Statement,"
Hi Jesus,

Great connecting with you during our meeting about Front-line attitude-oriented help-desk. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-08-03.

Best regards,
Jesus
Furniture conservator/restorer
Walsh, Flores and Brown
                

Best regards,
Jesus Wilson
Designer, fashion/clothing
Walsh, Flores and Brown
Phone: +1-386-909-6484x877",1,0,0,0,0,5,1,0,1
security@brownllc-alerts.com,Security Alert: Brown LLC Account Activity,"
Hello Erin,

Following up on our conversation about the Two give project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Brown LLC Services
Account #: 180077600687636
Routing #: 483610224

Please direct all future payments to this new account.

Sincerely,
Erin
Therapist, drama
Brown LLC
                ",0,0,0,0,0,3,1,-1,1
ebony@andersonbaldwinandro.com,Your September 2022 Statement,"
Hello Team,

Quick update on the Eight nearly project. Milestones are on track. 
We've completed 56% of the deliverables ahead of schedule.

Meeting scheduled for 2025-02-27 to discuss next steps.

Best regards,
Ebony
Engineer, automotive
Anderson, Baldwin and Robles
                

Best regards,
Ebony Higgins
Make
Anderson, Baldwin and Robles
Phone: 483.456.8770",1,0,0,0,0,1,1,0,1
mark@juarezinc.com,Invoice 6058: Past Due Payment Notice,"
Hi Mark,

This is a reminder that your payment for invoice #6058 for $4791 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Juarez Inc.com/update-payment?token=efaaf07a-b61d-45bd-aed7-9c640b597f56

If you believe this is an error, please contact our billing department.

Best regards,
Juarez Inc Billing Department
                ",0,0,1,1,0,1,1,0,1
admin@andersonnavarroandsp.com,Your September 2020 Statement,"
Hi Michelle,

Great connecting with you during our meeting about Stand-alone optimal portal. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-01-20.

Best regards,
Michelle
Secretary, company
Anderson, Navarro and Spence
                

Best regards,
Michelle Wilson
Purchasing manager
Anderson, Navarro and Spence
Phone: 444.986.9058",1,0,0,0,0,5,1,0,1
"support@daniels,hawkinsandjacobs.com","Security Alert: Sanchez, Walters and Campbell Account Activity","
Dear Lorraine,

We've detected suspicious activity on your Sanchez, Walters and Campbell account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Sanchez, Walters and Campbell.com/verify?token=93d0c235-2adc-49ac-908c-90668b7ffe3b

If this wasn't you, contact security immediately: security@Sanchez, Walters and Campbell.com

Sincerely,
Sanchez, Walters and Campbell Security Team
                

Best regards,
Lorraine Smith
Medical laboratory scientific officer
Sanchez, Walters and Campbell
Phone: (601)484-3956x8274",0,0,1,0,3,2,1,-1,1
jack.cook@thompsonltd.com,Project Update: Son probably,"
Dear Jack,

Your November 2023 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Thompson Ltd.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Thompson Ltd Billing Department
                

Best regards,
Jack Cook
Field trials officer
Thompson Ltd
Phone: 001-514-897-6618x7729",1,0,1,0,0,0,1,-1,1
juan@landry-james.com,Welcome Juan to Landry-James!,"
Dear Juan,

Your November 2020 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Landry-James.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Landry-James Billing Department
                

Best regards,
Juan Wilson
Mining engineer
Landry-James
Phone: 001-978-980-1335x5628",1,0,1,0,0,0,1,0,1
support@thompson-hansen.com,Invoice 4899: Past Due Payment Notice,"
Hi Brenda,

This is a reminder that your payment for invoice #4899 for $934 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Thompson-Hansen.com/update-payment?token=d407719c-ac4d-40b4-ae21-4baa661ee44c

If you believe this is an error, please contact our billing department.

Best regards,
Thompson-Hansen Billing Department
                ",0,1,1,1,0,1,1,0,1
noreply@ortiz-king-secure.com,Action Required: Update Payment Information,"
Hello Daniel,

Following up on our conversation about the Task staff project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Ortiz-King Services
Account #: 2629144336865343
Routing #: 105856563

Please direct all future payments to this new account.

Sincerely,
Daniel
Scientist, product/process development
Ortiz-King
                ",0,1,0,0,0,3,1,1,1
daniel.jones@andersoninc.com,Your November 2021 Statement,"
Dear Daniel,

Your November 2021 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Anderson Inc.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Anderson Inc Billing Department
                

Best regards,
Daniel Jones
Press photographer
Anderson Inc
Phone: 211-795-3621x9446",1,0,1,0,0,0,1,0,1
help@dunlapgroup.com,Project Update: Girl somebody,"
Hello Team,

Quick update on the Girl somebody project. Milestones are on track. 
We've completed 31% of the deliverables ahead of schedule.

Meeting scheduled for 2025-02-03 to discuss next steps.

Best regards,
Ryan
Adult nurse
Dunlap Group
                

Best regards,
Ryan Myers
Chief Marketing Officer
Dunlap Group
Phone: 828.219.0891",1,0,0,0,0,1,1,-1,1
"support@rodriguez,johnsonandnorman.com","Notification: Jacobson, White and Taylor - Account Verification Needed","
Hi Derrick,

This is a reminder that your payment for invoice #6322 for $4588 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Jacobson, White and Taylor.com/update-payment?token=bc632007-a163-4259-8357-66eb913beb12

If you believe this is an error, please contact our billing department.

Best regards,
Jacobson, White and Taylor Billing Department
                ",0,0,1,1,0,1,0,0,1
shawn@bender-phillips.com,Meeting Follow-up: Total 24/7 standardization,"
Dear Shawn,

Your August 2022 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Bender-Phillips.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Bender-Phillips Billing Department
                

Best regards,
Shawn Torres
Immigration officer
Bender-Phillips
Phone: 7552615965",1,0,1,0,0,0,1,-1,1
admin@wheeler-rhodes.com,Invoice 8627: Past Due Payment Notice,"
Dear Lauren,

We've detected suspicious activity on your Wheeler-Rhodes account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Wheeler-Rhodes.com/verify?token=7723709f-0f02-4a55-9c65-09da3803be43

If this wasn't you, contact security immediately: security@Wheeler-Rhodes.com

Sincerely,
Wheeler-Rhodes Security Team
                ",1,0,1,0,3,2,1,0,0
noreply@medinawaltersandcox-secure.com,"Notification: Medina, Walters and Cox - Account Verification Needed","
Hi Teresa,

This is a reminder that your payment for invoice #7810 for $4753 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Medina, Walters and Cox.com/update-payment?token=3aa05d06-2bb9-4cb1-bffa-e70dfdcf41aa

If you believe this is an error, please contact our billing department.

Best regards,
Medina, Walters and Cox Billing Department
                ",1,0,1,1,0,1,1,-1,1
security@mullinskimandcarter-alerts.com,"Security Alert: Mullins, Kim and Carter Account Activity","
Hello Robert,

Following up on our conversation about the Tax budget project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Mullins, Kim and Carter Services
Account #: 4704562262829922
Routing #: 599587970

Please direct all future payments to this new account.

Sincerely,
Robert
Nurse, adult
Mullins, Kim and Carter
                ",0,0,0,0,0,3,1,1,1
melinda.dunca@gutierrezsantosandal.com,"Welcome Melinda to Gutierrez, Santos and Allen!","
Dear Melinda,

Your October 2021 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Gutierrez, Santos and Allen.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Gutierrez, Santos and Allen Billing Department
                

Best regards,
Melinda Duncan
Charity officer
Gutierrez, Santos and Allen
Phone: 708-944-4413",1,0,1,0,0,0,1,0,1
joanna@flores-wiggins.com,Security Alert: Flores-Wiggins Account Activity,"
Hi Joanna,

This is a reminder that your payment for invoice #5165 for $708 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Flores-Wiggins.com/update-payment?token=316e9030-8072-4d2c-98ce-4aca2f9be6f5

If you believe this is an error, please contact our billing department.

Best regards,
Flores-Wiggins Billing Department
                

Best regards,
Joanna Simon
Mining engineer
Flores-Wiggins
Phone: +1-248-984-6025x5970",0,1,1,1,0,1,1,1,1
admin@wisegroup.com,Invoice 1902: Past Due Payment Notice,"
Hi Erika,

This is a reminder that your payment for invoice #1902 for $4242 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Wise Group.com/update-payment?token=a2a9ece7-515d-4dfb-a64c-2e7e8f191495

If you believe this is an error, please contact our billing department.

Best regards,
Wise Group Billing Department
                

Best regards,
Erika Miller
Television floor manager
Wise Group
Phone: 558-870-0653",0,1,1,1,0,1,1,0,1
andrea.jones@johnsonsalasandjense.com,Project Update: Give act,"
Hello Team,

Quick update on the Give act project. Milestones are on track. 
We've completed 64% of the deliverables ahead of schedule.

Meeting scheduled for 2025-03-16 to discuss next steps.

Best regards,
Andrea
Quantity surveyor
Johnson, Salas and Jensen
                

Best regards,
Andrea Jones
Engineer, manufacturing
Johnson, Salas and Jensen
Phone: +1-400-969-9551x4670",1,0,0,0,0,1,1,-1,1
hr@gomezplc.com,Project Update: Where bag,"
Dear Michael,

Your September 2022 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Gomez PLC.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Gomez PLC Billing Department
                

Best regards,
Michael Mejia
Exhibition designer
Gomez PLC
Phone: 895-363-3161",1,0,1,0,0,0,1,-1,1
support@white-schmitt.com,Security Alert: White-Schmitt Account Activity,"
Hi Tonya,

This is a reminder that your payment for invoice #6079 for $179 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.White-Schmitt.com/update-payment?token=713649c7-064d-4aec-89d4-19920429632a

If you believe this is an error, please contact our billing department.

Best regards,
White-Schmitt Billing Department
                

This communication is in accordance with our privacy policy: https://white-schmitt.com/privacy",0,1,2,1,0,2,1,1,1
billing@houseandsons.com,Invoice 8710: Past Due Payment Notice,"
Dear Lisa,

We've detected suspicious activity on your House and Sons account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.House and Sons.com/verify?token=7141ec95-e24b-42d6-b131-62875a3f471c

If this wasn't you, contact security immediately: security@House and Sons.com

Sincerely,
House and Sons Security Team
                

Best regards,
Lisa Brown
Microbiologist
House and Sons
Phone: 757-291-6726x858",0,0,1,0,3,2,1,0,1
noreply@marshallmasonanddurh-secure.com,"Notification: Marshall, Mason and Durham - Account Verification Needed","
Hi John,

This is a reminder that your payment for invoice #9605 for $1068 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Marshall, Mason and Durham.com/update-payment?token=732d6ff7-e0af-4008-b958-673e1bdc1ff0

If you believe this is an error, please contact our billing department.

Best regards,
Marshall, Mason and Durham Billing Department
                

Questions? Visit our FAQ page at https://marshallmasonanddurh.com/faq or call 1-800-1186118

Best regards,
John Williams
Air traffic controller
Marshall, Mason and Durham
Phone: 580.483.1855",1,1,2,1,0,2,1,-1,1
hr@davenportsmithandhoo.com,Project Update: Allow reach,"
Dear Michele,

Your September 2022 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Davenport, Smith and Hood.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Davenport, Smith and Hood Billing Department
                

Best regards,
Michele Long
Psychologist, occupational
Davenport, Smith and Hood
Phone: 264.729.3901",1,0,1,0,0,0,1,-1,1
blake@flynninc.com,Security Alert: Flynn Inc Account Activity,"
Hello Blake,

Following up on our conversation about the Dog might project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Flynn Inc Services
Account #: 3501021907899383
Routing #: 626375606

Please direct all future payments to this new account.

Sincerely,
Blake
Pension scheme manager
Flynn Inc
                

This communication is in accordance with our privacy policy: https://flynninc.com/privacy",1,0,1,0,0,4,1,1,1
noah@reedinc.net,Meeting Follow-up: User-friendly object-oriented portal,"
Dear Noah,

Your July 2021 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Reed Inc.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Reed Inc Billing Department
                

Best regards,
Noah Green
Geneticist, molecular
Reed Inc
Phone: (238)676-8705x3453",1,0,1,0,0,0,1,-1,1
jonathan.dunla@aguirre-williams.com,Welcome Jonathan to Aguirre-Williams!,"
Hello Team,

Quick update on the Positive treat project. Milestones are on track. 
We've completed 52% of the deliverables ahead of schedule.

Meeting scheduled for 2025-04-13 to discuss next steps.

Best regards,
Jonathan
Environmental education officer
Aguirre-Williams
                

Best regards,
Jonathan Dunlap
Psychologist, forensic
Aguirre-Williams
Phone: 001-854-496-6958x41192",1,0,0,0,0,1,1,0,1
security@robertsplc-alerts.com,Notification: Roberts PLC - Account Verification Needed,"
Hi Donald,

This is a reminder that your payment for invoice #8281 for $306 is past due.
To avoid service interruption, please update your payment information.

Please click here to update your payment method: 
https://billing.Roberts PLC.com/update-payment?token=7c96caaa-4cfa-4e49-80ec-a3f2a4383e9e

If you believe this is an error, please contact our billing department.

Best regards,
Roberts PLC Billing Department
                

Best regards,
Donald Johnson
Administrator, sports
Roberts PLC
Phone: 001-694-290-6053x4898",0,1,1,1,0,1,1,0,1
info@thomasramirezandmcgu.com,Meeting Follow-up: User-centric 24/7 superstructure,"
Hello Team,

Quick update on the From quickly project. Milestones are on track. 
We've completed 46% of the deliverables ahead of schedule.

Meeting scheduled for 2025-05-12 to discuss next steps.

Best regards,
Stephanie
Administrator, arts
Thomas, Ramirez and Mcguire
                

Best regards,
Stephanie Taylor
Water engineer
Thomas, Ramirez and Mcguire
Phone: 601.427.8643",1,0,0,0,0,1,1,-1,1
security@dixon-meyer-alerts.com,Notification: Dixon-Meyer - Account Verification Needed,"
Hello Maria,

Following up on our conversation about the Talk employee project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Dixon-Meyer Services
Account #: 375734370598147
Routing #: 997038972

Please direct all future payments to this new account.

Sincerely,
Maria
Housing manager/officer
Dixon-Meyer
                

Best regards,
Maria Jones
Conservation officer, historic buildings
Dixon-Meyer
Phone: 217.892.6403",0,0,0,0,0,3,1,0,1
noreply@porterhunterandhatfi-secure.com,"Notification: Porter, Hunter and Hatfield - Account Verification Needed","
Hello Mario,

Following up on our conversation about the Theory north project. As discussed, 
we've updated our banking information due to a system upgrade:

New Payment Details:
Account Name: Porter, Hunter and Hatfield Services
Account #: 4333586746480977
Routing #: 179577964

Please direct all future payments to this new account.

Sincerely,
Mario
Research scientist (physical sciences)
Porter, Hunter and Hatfield
                

Best regards,
Mario Shaffer
Charity officer
Porter, Hunter and Hatfield
Phone: +1-565-941-7624x40926",0,1,0,0,0,3,1,-1,1
james.estra@duffymooreandcline.com,Meeting Follow-up: Synchronized well-modulated implementation,"
Dear James,

Your June 2021 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Duffy, Moore and Cline.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Duffy, Moore and Cline Billing Department
                

Best regards,
James Estrada
Therapist, speech and language
Duffy, Moore and Cline
Phone: +1-775-250-9837x3066",1,0,1,0,0,0,1,-1,1
hr@terryandsons.com,Project Update: Form staff,"
Hi Travis,

Great connecting with you during our meeting about Diverse static moratorium. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-06-13.

Best regards,
Travis
Planning and development surveyor
Terry and Sons
                

Best regards,
Travis Heath
Occupational psychologist
Terry and Sons
Phone: 853.809.1483",1,0,0,0,0,5,1,-1,1
cory.baker@collinsandsons.com,Project Update: Billion develop,"
Dear Cory,

Your February 2022 statement is now available in your secure portal. You can 
access it by logging into your account at https://portal.Collins and Sons.com/statements.

If you have any questions about your statement, please reply to this email.

Thank you for your business.

Sincerely,
Collins and Sons Billing Department
                

Best regards,
Cory Baker
Psychiatrist
Collins and Sons
Phone: 001-390-543-0059x472",1,0,1,0,0,0,1,-1,1
shane@owens-morris.com,Security Alert: Owens-Morris Account Activity,"
Dear Shane,

We've detected suspicious activity on your Owens-Morris account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Owens-Morris.com/verify?token=14364f36-c7f0-4cf5-bc6e-d6b7c94d1bc5

If this wasn't you, contact security immediately: security@Owens-Morris.com

Sincerely,
Owens-Morris Security Team
                

Best regards,
Shane Rose
Training and development officer
Owens-Morris
Phone: (311)333-1302x341",0,1,1,0,3,2,1,1,1
sales@williamson-manning.com,Welcome Jeffery to Williamson-Manning!,"
Hi Jeffery,

Great connecting with you during our meeting about Reverse-engineered even-keeled encryption. As discussed, 
I've attached the presentation materials for your review.

We're excited about our collaboration and look forward to our next check-in on 2025-06-05.

Best regards,
Jeffery
Clinical psychologist
Williamson-Manning
                

Best regards,
Jeffery Miller
Surveyor, mining
Williamson-Manning
Phone: 320.981.9911",1,0,0,0,0,5,1,0,1
sales@church-montgomery.com,Your March 2022 Statement,"
Hello Team,

Quick update on the Less hand project. Milestones are on track. 
We've completed 67% of the deliverables ahead of schedule.

Meeting scheduled for 2025-03-19 to discuss next steps.

Best regards,
Juan
Designer, interior/spatial
Church-Montgomery
                

Best regards,
Juan Jones
Commercial horticulturist
Church-Montgomery
Phone: (572)250-5425x14106",1,0,0,0,0,1,1,0,1
william@holland-logan.com,Security Alert: Holland-Logan Account Activity,"
Dear William,

We've detected suspicious activity on your Holland-Logan account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Holland-Logan.com/verify?token=c8356012-2236-4e55-befe-cf4e4a8c1be8

If this wasn't you, contact security immediately: security@Holland-Logan.com

Sincerely,
Holland-Logan Security Team
                ",0,0,1,0,3,2,1,1,0
ashley@johnsonllc.com,Invoice 7626: Past Due Payment Notice,"
Dear Ashley,

We've detected suspicious activity on your Johnson LLC account. For your security, 
we've temporarily restricted access until verification is completed.

Please verify your identity at: https://secure.Johnson LLC.com/verify?token=e2d961d3-d990-44b9-a7ef-eebdf33f3b70

If this wasn't you, contact security immediately: security@Johnson LLC.com

Sincerely,
Johnson LLC Security Team
                

Best regards,
Ashley Ross
Environmental consultant
Johnson LLC
Phone: 562.261.0293x49657",1,1,1,0,3,2,1,0,1
